           #Fx:            Fy:
      -0.108358     0.00644083
      -0.107598     0.00659597
      -0.106647     0.00668025
      -0.105487     0.00668644
      -0.104185     0.00661609
       -0.10281     0.00647845
      -0.101449     0.00629528
      -0.100118      0.0060934
      -0.098831     0.00589978
     -0.0975713     0.00573312
     -0.0963905     0.00560511
     -0.0953525     0.00551784
      -0.094552     0.00547139
      -0.094017     0.00546255
     -0.0937375     0.00549056
     -0.0936325     0.00555073
     -0.0936412     0.00563693
     -0.0937139     0.00573759
     -0.0938536     0.00583826
     -0.0940487     0.00591938
     -0.0942797     0.00596418
     -0.0944754     0.00596214
     -0.0945755     0.00591696
      -0.094533     0.00583926
     -0.0943684     0.00574511
     -0.0941262     0.00564604
     -0.0938758     0.00555081
     -0.0936544     0.00545962
     -0.0934863     0.00537263
     -0.0933712     0.00528954
     -0.0933264     0.00521839
      -0.093366     0.00517144
     -0.0935128     0.00516183
     -0.0937626     0.00518997
     -0.0940944     0.00524204
     -0.0944615     0.00529709
     -0.0948248     0.00533697
     -0.0951475     0.00535208
      -0.095412     0.00534612
     -0.0956056     0.00532822
      -0.095731       0.005307
      -0.095797     0.00528273
     -0.0958309     0.00525026
     -0.0958653     0.00520266
      -0.095934      0.0051425
     -0.0960559     0.00508054
     -0.0962371     0.00503549
     -0.0964708     0.00502041
     -0.0967515      0.0050379
     -0.0970727     0.00507936
     -0.0974257     0.00513172
     -0.0977895      0.0051814
     -0.0981281     0.00522062
     -0.0984007     0.00524346
     -0.0985809     0.00524549
     -0.0986719     0.00522112
     -0.0987026     0.00517223
     -0.0987144      0.0051074
     -0.0987397     0.00504262
     -0.0987941     0.00499294
     -0.0988778     0.00496693
     -0.0989913      0.0049607
     -0.0991346     0.00496645
     -0.0993135     0.00497634
     -0.0995229     0.00499322
     -0.0997477     0.00502202
     -0.0999583     0.00506673
      -0.100125     0.00511578
      -0.100229     0.00514856
      -0.100269     0.00514083
      -0.100261     0.00508685
      -0.100232      0.0050013
      -0.100207     0.00491956
      -0.100206     0.00487135
      -0.100241      0.0048697
      -0.100315     0.00489961
      -0.100419     0.00493737
      -0.100536     0.00496149
      -0.100651     0.00497141
      -0.100751     0.00497724
      -0.100829     0.00499152
      -0.100882     0.00501236
       -0.10091     0.00502646
      -0.100906     0.00501525
      -0.100874     0.00497416
      -0.100825     0.00491441
       -0.10078     0.00486361
       -0.10076      0.0048422
       -0.10078     0.00485691
      -0.100833     0.00489413
      -0.100906      0.0049366
       -0.10097     0.00497092
      -0.101013      0.0049978
      -0.101023     0.00501874
      -0.101013     0.00503243
      -0.100986     0.00502736
      -0.100952     0.00499815
      -0.100909     0.00494717
      -0.100865     0.00489418
      -0.100819     0.00486115
